Furniture
2935	exotic bed
2936	exotic bureau
2937	exotic wardrobe
2938	exotic bench
2939	exotic chair
293a	exotic table
293b	exotic end table
293c	exotic lamp
293d	exotic screen
293e	exotic chest
293f	exotic wall shelf
2940	ranch bed
2941	ranch dresser
2942	ranch wardrobe
2943	ranch couch
2944	ranch armchair
2945	ranch chair
2946	ranch table
2947	ranch tea table
2948	ranch bookcase
2949	ranch hutch
294a	ranch wall rack
294b	classic bed
294c	classic vanity
294d	classic wardrobe
294e	classic chair
294f	classic sofa
2950	classic table
2951	classic bookcase
2952	classic buffet
2953	classic desk
2954	classic clock
2955	classic wall shelf
2956	regal bed
2957	regal dresser
2958	regal armoire
2959	regal chair
295a	regal sofa
295b	regal table
295c	regal lamp
295d	regal clock
295e	regal bookcase
295f	regal vanity
2960	regal wall lamp
2961	blue bed
2962	blue bureau
2963	blue wardrobe
2964	blue chair
2965	blue bench
2966	blue table
2967	blue bookcase
2968	blue cabinet
2969	blue clock
296a	blue dresser
296b	blue wall shelf
296c	cabana bed
296d	cabana dresser
296e	cabana wardrobe
296f	cabana chair
2970	cabana armchair
2971	cabana table
2972	cabana lamp
2973	cabana bookcase
2974	cabana vanity
2975	cabana screen
2976	cabana wall radio
2977	green bed
2978	green dresser
2979	green wardrobe
297a	green chair
297b	green bench
297c	green table
297d	green desk
297e	green lamp
297f	green counter
2980	green pantry
2981	green wall clock
2982	cabin bed
2983	cabin dresser
2984	cabin wardrobe
2985	cabin chair
2986	cabin armchair
2987	cabin couch
2988	cabin table
2989	cabin low table
298a	cabin bookcase
298b	cabin clock
298c	cabin wall clock
298d	modern bed
298e	modern dresser
298f	modern wardrobe
2990	modern chair
2991	modern sofa
2992	modern end table
2993	modern desk
2994	modern table
2995	modern cabinet
2996	modern lamp
2997	modern wall clock
2998	kiddie bed
2999	kiddie dresser
299a	kiddie wardrobe
299b	kiddie couch
299c	kiddie chair
299d	kiddie table
299e	kiddie bureau
299f	kiddie bookcase
29a0	kiddie clock
29a1	kiddie stereo
29a2	kiddie wall clock
29a3	lovely bed
29a4	lovely dresser
29a5	lovely armoire
29a6	lovely chair
29a7	lovely love seat
29a8	lovely end table
29a9	lovely table
29aa	lovely vanity
29ab	lovely kitchen
29ac	lovely lamp
29ad	lovely wall clock
29ae	robo-bed
29af	robo-dresser
29b0	robo-closet
29b1	robo-sofa
29b2	robo-chair
29b3	robo-table
29b4	robo-stereo
29b5	robo-TV
29b6	robo-clock
29b7	robo-lamp
29b8	robo-wall clock
29b9	polka-dot bed
29ba	polka-dot dresser
29bb	polka-dot closet
29bc	polka-dot chair
29bd	polka-dot sofa
29be	polka-dot table
29bf	polka-dot lamp
29c0	polka-dot stool
29c1	polka-dot low table
29c2	polka-dot TV
29c3	polka-dot clock
29c4	snowman bed
29c5	snowman dresser
29c6	snowman wardrobe
29c7	snowman chair
29c8	snowman sofa
29c9	snowman table
29ca	snowman fridge
29cb	snowman TV
29cc	snowman clock
29cd	snowman lamp
29ce	snowman vanity
29cf	mush bed
29d0	mush dresser
29d1	mush closet
29d2	mush chair
29d3	mush stool
29d4	mush table
29d5	mush end table
29d6	mush lamp
29d7	mush wall lamp
29d8	mush TV
29d9	mush hanger
29da	Pavé bed
29db	Pavé chest
29dc	Pavé closet
29dd	Pavé sofa
29de	Pavé chair
29df	Pavé table
29e0	Pavé end table
29e1	Pavé bookshelf
29e2	Pavé bureau
29e3	Pavé lamp
29e4	Pavé clock
29e5	egg bed
29e6	egg dresser
29e7	egg wardrobe
29e8	egg chair
29e9	egg bench
29ea	egg table
29eb	egg stereo
29ec	egg toy set
29ed	egg clock
29ee	egg lamp
29ef	egg TV
29f0	spooky bed
29f1	spooky dresser
29f2	spooky wardrobe
29f3	spooky sofa
29f4	spooky chair
29f5	spooky table
29f6	spooky vanity
29f7	spooky bookcase
29f8	spooky clock
29f9	spooky lamp
29fa	spooky wall lamp
29fb	harvest bed
29fc	harvest dresser
29fd	harvest bureau
29fe	harvest sofa
29ff	harvest chair
2a00	harvest table
2a01	harvest mirror
2a02	harvest TV
2a03	harvest clock
2a04	harvest lamp
2a05	harvest wall lamp
2a06	Jingle bed
2a07	Jingle dresser
2a08	Jingle wardrobe
2a09	Jingle sofa
2a0a	Jingle chair
2a0b	Jingle table
2a0c	Jingle shelves
2a0d	Jingle piano
2a0e	Jingle clock
2a0f	Jingle lamp
2a10	Jingle TV
2a11	princess bed
2a12	princess chest
2a13	princess closet
2a14	princess sofa
2a15	princess chair
2a16	princess table
2a17	princess curio
2a18	princess dresser
2a19	princess cage
2a1a	princess lamp
2a1b	princess clock
2a1c	Gracie bed
2a1d	Gracie chest
2a1e	Gracie wardrobe
2a1f	Gracie bench
2a20	Gracie chair
2a21	Gracie low table
2a22	Gracie desk
2a23	Gracie wagon
2a24	Gracie shelf
2a25	Gracie lamp
2a26	Gracie wall clock
2a27	sweets bed
2a28	sweets dresser
2a29	sweets closet
2a2a	sweets sofa
2a2b	sweets chair
2a2c	sweets table
2a2d	sweets minitable
2a2e	sweets bookcase
2a2f	sweets lamp
2a30	sweets minilamp
2a31	sweets player
2a32	gorgeous bed
2a33	gorgeous chest
2a34	gorgeous closet
2a35	gorgeous sofa
2a36	gorgeous seat
2a37	gorgeous stool
2a38	gorgeous table
2a39	gorgeous desk
2a3a	gorgeous counter
2a3b	gorgeous lamp
2a3c	gorgeous wall clock
2a3d	minimalist bed
2a3e	minimalist sofa
2a3f	minimalist chair
2a40	minimalist dresser
2a41	minimalist wardrobe
2a42	minimalist clock
2a43	minimalist lamp
2a44	minimalist ottoman
2a45	minimalist table
2a46	minimalist minitable
2a47	minimalist vanity
2a48	golden bed
2a49	golden dresser
2a4a	golden closet
2a4b	golden chair
2a4c	golden bench
2a4d	golden table
2a4e	golden clock
2a4f	golden man
2a50	golden woman
2a51	golden screen
2a52	golden wall torch
2a53	cow skull
2a54	desert cactus
2a55	western fence
2a56	saddle fence
2a57	storefront
2a58	covered wagon
2a59	watering trough
2a5a	tumbleweed
2a5b	well
2a5c	wagon wheel
2a5d	asteroid
2a5e	moon
2a5f	lunar lander
2a60	rocket
2a61	lunar rover
2a62	satellite
2a63	space shuttle
2a64	Spaceman Sam
2a65	space station
2a66	flying saucer
2a67	detour arrow
2a68	handcart
2a69	iron frame
2a6a	manhole cover
2a6b	orange cone
2a6c	traffic cone
2a6d	sawhorse
2a6e	wet-road sign
2a6f	steamroller
2a70	jackhammer
2a71	striped cone
2a72	cement mixer
2a73	oil barrel
2a74	boxing barricade
2a75	red corner
2a76	blue corner
2a77	neutral corner
2a78	judge's bell
2a79	boxing mat
2a7a	ringside table
2a7b	weight bench
2a7c	sandbag
2a7d	speed bag
2a7e	birdhouse
2a7f	Mr. Flamingo
2a80	Mrs. Flamingo
2a81	garden gnome
2a82	bug zapper
2a83	hammock
2a84	birdbath
2a85	picnic table
2a86	bird feeder
2a87	lawn chair
2a88	lawn mower
2a89	barbecue
2a8a	backyard pool
2a8b	sprinkler
2a8c	tiki torch
2a8d	elephant slide
2a8e	stroller
2a8f	cradle
2a90	baby bed
2a91	clackercart
2a92	merry-go-round
2a93	rocking horse
2a94	train set
2a95	wobbelina
2a96	dolly
2a97	lab bench
2a98	lab chair
2a99	medicine chest
2a9a	florence flask
2a9b	amazing machine
2a9c	unknown machine
2a9d	complex machine
2a9e	helm
2a9f	barrel
2aa0	keg
2aa1	ship cannon
2aa2	anchor
2aa3	ship compass
2aa4	creepy skeleton
2aa5	creepy cauldron
2aa6	creepy bat stone
2aa7	creepy stone
2aa8	creepy coffin
2aa9	creepy crystal
2aaa	creepy clock
2aab	creepy statue
2aac	pawn
2aad	bishop
2aae	king
2aaf	knight
2ab0	queen
2ab1	rook
2ab2	right platform
2ab3	left platform
2ab4	podium
2ab5	teacher's desk
2ab6	teacher's chair
2ab7	school desk
2ab8	school chair
2ab9	cubbyhole
2aba	chalkboard
2abb	mop
2abc	skeleton
2abd	anatomical model
2abe	clear model
2abf	hamster cage
2ac0	science table
2ac1	vaulting horse
2ac2	ball catcher
2ac3	high-jump mat
2ac4	hurdle
2ac5	scoreboard
2ac6	folding chair
2ac7	vision tester
2ac8	trunk measure
2ac9	stadiometer
2aca	scale
2acb	hospital bed
2acc	hospital screen
2acd	IV drip
2ace	washbasin (1)
2acf	writing desk
2ad0	writing chair
2ad1	globe
2ad2	office desk
2ad3	office chair
2ad4	office locker
2ad5	coffeemaker
2ad6	checkout counter
2ad7	cash register
2ad8	jukebox
2ad9	siphon
2ada	giant dharma
2adb	dharma
2adc	mini dharma
2add	Papa bear
2ade	Mama bear
2adf	Baby bear
2ae0	Mama polar bear
2ae1	Papa panda
2ae2	Mama panda
2ae3	Baby panda
2ae4	tall cactus
2ae5	cactus
2ae6	round cactus
2ae7	golf bag
2ae8	simple armchair
2ae9	simple love seat
2aea	bear pole
2aeb	eagle pole
2aec	frog-woman pole
2aed	raven pole
2aee	lava lamp
2aef	tea table
2af0	hearth
2af1	screen
2af2	hibachi
2af3	tea tansu
2af4	paper lantern
2af5	paper wall lamp
2af6	paulownia closet
2af7	stair dresser
2af8	low screen
2af9	paper tiger
2afa	lucky frog
2afb	sword
2afc	bow
2afd	samurai suit
2afe	black katana
2aff	white katana
2b00	ninja sword
2b01	deer scare
2b02	tall lantern
2b03	spa chair
2b04	bath mat
2b05	bucket
2b06	bathtub
2b07	milk case
2b08	ice-cream case
2b09	washbasin (2)
2b0a	tea vase
2b0b	red vase
2b0c	blue vase
2b0d	lucky cat
2b0e	lefty lucky cat
2b0f	lucky black cat
2b10	lucky gold cat
2b11	grapefruit table
2b12	lemon table
2b13	tangerine chair
2b14	kiwi stool
2b15	pear wardrobe
2b16	pear dresser
2b17	watermelon chair
2b18	watermelon table
2b19	juicy-apple TV
2b1a	juicy-apple clock
2b1b	lily-pad table
2b1c	froggy chair
2b1d	pine chair
2b1e	pine table
2b1f	flower chair
2b20	flower table
2b21	ponderosa bonsai
2b22	pine bonsai
2b23	mugho bonsai
2b24	plum bonsai
2b25	holly bonsai
2b26	azalea bonsai
2b27	maple bonsai
2b28	hawthorn bonsai
2b29	quince bonsai
2b2a	jasmine bonsai
2b2b	pothos
2b2c	coconut palm
2b2d	pachira
2b2e	caladium
2b2f	croton
2b30	dracaena
2b31	lady palm
2b32	aloe
2b33	rubber tree
2b34	snake plant
2b35	fan palm
2b36	corn plant
2b37	bromeliaceae
2b38	weeping fig
2b39	conga drum
2b3a	djimbe drum
2b3b	timpano drum
2b3c	violin
2b3d	cello
2b3e	bass
2b3f	folk guitar
2b40	country guitar
2b41	rock guitar
2b42	electric guitar
2b43	ukulele
2b44	ebony piano
2b45	upright piano
2b46	taiko drum
2b47	vibraphone
2b48	biwa lute
2b49	harp
2b4a	metronome
2b4b	trash can
2b4c	garbage pail
2b4d	garbage can
2b4e	trash bin
2b4f	pantheon post
2b50	ionian post
2b51	corinthian post
2b52	broken post
2b53	pyramid
2b54	Sphinx
2b55	mummy's casket
2b56	jomon pottery
2b57	tennis table
2b58	bowling pins
2b59	ball return
2b5a	basketball hoop
2b5b	billiard table
2b5c	mahjong table
2b5d	dartboard
2b5e	pinball machine
2b5f	arcade machine
