Gyroids
28b2	mega clankoid
28b3	clankoid
28b4	mini clankoid
28b5	tall clankoid
28b6	squat dingloid
28b7	mega dingloid
28b8	dingloid
28b9	mini dingloid
28ba	wee dingloid
28bb	tall dingloid
28bc	mega percoloid
28bd	tall percoloid
28be	mega oombloid
28bf	oombloid
28c0	mini oombloid
28c1	tall oombloid
28c2	rhythmoid
28c3	mini rhythmoid
28c4	mega puffoid
28c5	mini puffoid
28c6	tall puffoid
28c7	mega lullaboid
28c8	lullaboid
28c9	mini lullaboid
28ca	tall lullaboid
28cb	mega sproid
28cc	sproid
28cd	mini sproid
28ce	tall sproid
28cf	mega bowtoid
28d0	bowtoid
28d1	mini bowtoid
28d2	tall bowtoid
28d3	mega tootoid
28d4	tootoid
28d5	mini tootoid
28d6	mega plinkoid
28d7	plinkoid
28d8	mini plinkoid
28d9	mega dekkoid
28da	dekkoid
28db	mini dekkoid
28dc	mega buzzoid
28dd	buzzoid
28de	mini buzzoid
28df	tall buzzoid
28e0	mega drilloid
28e1	drilloid
28e2	mini drilloid
28e3	mega echoid
28e4	mini echoid
28e5	tall echoid
28e6	mega lamentoid
28e7	lamentoid
28e8	mini lamentoid
28e9	tall lamentoid
28ea	mega strumboid
28eb	strumboid
28ec	mini strumboid
28ed	tall strumboid
28ee	mega croakoid
28ef	croakoid
28f0	mini croakoid
28f1	tall croakoid
28f2	mega fizzoid
28f3	mini fizzoid
28f4	mega squelchoid
28f5	squelchoid
28f6	mini squelchoid
28f7	mega howloid
28f8	howloid
28f9	mini howloid
28fa	mega nebuloid
28fb	squat nebuloid
28fc	nebuloid
28fd	mini nebuloid
28fe	tall nebuloid
28ff	slim nebuloid
2900	mega gongoid
2901	gongoid
2902	mini gongoid
2903	tall gongoid
2904	mega poltergoid
2905	poltergoid
2906	mini poltergoid
2907	tall poltergoid
2908	metatoid
2909	mini metatoid
290a	mega bovoid
290b	tall bovoid
290c	mega oboid
290d	oboid
290e	tall oboid
290f	mega dinkoid
2910	mini dinkoid
2911	mega harmonoid
2912	harmonoid
2913	mini harmonoid
2914	tall harmonoid
2915	tall droploid
2916	mega sputnoid
2917	sputnoid
2918	mini sputnoid
2919	tall sputnoid
291a	mega alloid
291b	mini alloid
291c	tall alloid
291d	mega timpanoid
291e	timpanoid
291f	mini timpanoid
2920	tall timpanoid
2921	gargloid
2922	mini gargloid
2923	tall gargloid
2924	warbloid
2925	mini warbloid
2926	tall warbloid
2927	mega freakoid
2928	mini freakoid
2929	mega quazoid
292a	quazoid
292b	mini quazoid
292c	tall quazoid
292d	slim quazoid
292e	mega rustoid
292f	rustoid
2930	mini rustoid
2931	mega brewstoid
2932	mini brewstoid
2933	tall brewstoid
2934	brewstoid
