Shirts
2448	one-ball tee
2449	two-ball tee
244a	three-ball tee
244b	four-ball tee
244c	five-ball tee
244d	six-ball tee
244e	seven-ball tee
244f	eight-ball tee
2450	nine-ball tee
2451	paw tee
2452	daisy tee
2453	tulip tee
2454	cherry tee
2455	skull tee
2456	U-R-here tee
2457	lightning tee
2458	MVP tee
2459	BB tee
245a	fish tee
245b	frog tee
245c	bear tee
245d	bunny tee
245e	bunny shirt
245f	elephant tee
2460	spade tee
2461	diamond tee
2462	club tee
2463	heart tee
2464	big-star tee
2465	bright tee
2466	A tee
2467	No. 1 shirt
2468	No. 2 shirt
2469	No. 3 shirt
246a	No. 4 shirt
246b	No. 5 shirt
246c	No. 23 shirt
246d	No. 67 shirt
246e	big bro's tee
246f	li'l bro's tee
2470	cloudy tee
2471	fresh tee
2472	dawn tee
2473	misty tee
2474	sunset tee
2475	deep-blue tee
2476	peachy tee
2477	rainbow tee
2478	sno-cone tee
2479	orange tie-dye tee
247a	purple tie-dye tee
247b	green tie-dye tee
247c	blue tie-dye tee
247d	red tie-dye tee
247e	bold-check tee
247f	café tee
2480	checkered tee
2481	blue-check tee
2482	red-check tee
2483	dogtooth tee
2484	tan dogtooth tee
2485	rugby tee
2486	green-bar tee
2487	yellow-bar tee
2488	grape-stripe tee
2489	beatnik tee
248a	red-bar tee
248b	blue-stripe tee
248c	blue-stripe shirt
248d	gelato tee
248e	chain-gang tee
248f	speedway tee
2490	yellow tartan tee
2491	fall plaid tee
2492	blue tartan tee
2493	dapper tee
2494	natty tee
2495	blue-grid tee
2496	red-grid tee
2497	dazed tee
2498	checkerboard tee
2499	Toad tee
249a	dark polka tee
249b	lite polka tee
249c	bubble-gum tee
249d	funky-dot tee
249e	gumdrop tee
249f	big-dot tee
24a0	aqua polka tee
24a1	blue-bar tee
24a2	gold-bar tee
24a3	brown-bar tee
24a4	vegetarian tee
24a5	racer tee
24a6	pastel-stripe tee
24a7	rally tee
24a8	racer 6 tee
24a9	vertigo tee
24aa	barber tee
24ab	jade plaid tee
24ac	blue plaid tee
24ad	mint gingham tee
24ae	picnic tee
24af	candy gingham tee
24b0	lemon gingham tee
24b1	melon gingham tee
24b2	bad plaid tee
24b3	pink tartan tee
24b4	waffle tee
24b5	gray tartan tee
24b6	gray tartan shirt
24b7	red argyle shirt
24b8	red argyle tee
24b9	blue argyle shirt
24ba	blue argyle tee
24bb	pink argyle shirt
24bc	pink argyle tee
24bd	cyan argyle shirt
24be	cyan argyle tee
24bf	chevron shirt
24c0	icy shirt
24c1	aurora knit shirt
24c2	winter sweater
24c3	folk shirt
24c4	argyle knit shirt
24c5	uncommon shirt
24c6	comfy sweater
24c7	beige knit shirt
24c8	earthy knit shirt
24c9	spring shirt
24ca	lively knit shirt
24cb	deer shirt
24cc	monkey shirt
24cd	chocomint tee
24ce	fern tee
24cf	leaf tee
24d0	fall leaf tee
24d1	straw shirt
24d2	grass tee
24d3	snow shirt
24d4	lovely tee
24d5	bubble tee
24d6	chichi-print tee
24d7	coral tee
24d8	groovy tee
24d9	flame tee
24da	danger tee
24db	Gracie tank
24dc	future tank
24dd	optical shirt
24de	twinkle tee
24df	star tee
24e0	night-sky tee
24e1	amethyst tee
24e2	nebula tee
24e3	dice tank
24e4	kiddie tee
24e5	airy tee
24e6	crossing shirt
24e7	splendid tee
24e8	jagged tee
24e9	subdued-print tee
24ea	sharp outfit
24eb	painter's tee
24ec	jungle-camo tee
24ed	arctic-camo tee
24ee	desert-camo tee
24ef	circuit tank
24f0	pulse tank
24f1	zebra tee
24f2	tiger tee
