Hats
2779	red cap
277a	yellow cap
277b	light-blue cap
277c	green cap
277d	star cap
277e	1-Up cap
277f	purple cap
2780	blue cap
2781	blue pom-pom hat
2782	green knit hat
2783	orange knit hat
2784	pink knit hat
2785	purple knit hat
2786	red pom-pom hat
2787	badge hat
2788	straw hat
2789	grandpa hat
278a	paperboy cap
278b	beret
278c	dandy hat
278d	hunter's cap
278e	detective hat
278f	top hat
2790	puffy hat
2791	Gracie hat
2792	elegant hat
2793	bandana
2794	tulip hat
2795	do-rag
2796	swimming cap
2797	wizard's cap
2798	newsprint helmet
2799	Santa hat
279a	big bro's hat
279b	li'l bro's hat
279c	Wario hat
279d	bicycle helmet
279e	chef's hat
279f	combat helmet
27a0	scholar's hat
27a1	safety helmet
27a2	police cap
27a3	explorer's hat
27a4	captain's hat
27a5	sailor's hat
27a6	silk hat
27a7	outback hat
27a8	milkmaid hat
27a9	sombrero
27aa	alpinist hat
27ab	viking helmet
27ac	cavalier hat
27ad	pirate's hat
27ae	jester's cap
27af	witch's hat
27b0	melon hat
27b1	strawberry hat
27b2	kiwi hat
27b3	mandarin hat
27b4	watermelon hat
27b5	grape hat
27b6	red ribbon
27b7	blue ribbon
27b8	yellow ribbon
27b9	heart hairpin
27ba	star hairpin
27bb	moon hairpin
27bc	halo
27bd	shamrock hat
27be	student cap
27bf	flamenco hat
27c0	red-team cap
27c1	white-team cap
27c2	hot-dog hat
27c3	celebration hat
27c4	emperor's cap
27c5	banana-split hat
27c6	school cap
27c7	white school cap
27c8	white police cap
27c9	royal crown
27ca	crown
27cb	patched hat
27cc	birthday hat
27cd	red New Year's hat
27ce	y. New Year's hat
27cf	blue New Year's hat
27d0	green New Year's hat
27d1	white cap
27d2	ribboned straw hat
27d3	nurse's cap
27d4	pink nightcap
27d5	blue plaid fedora
27d6	hibiscus hairpin
27d7	straw umbrella hat
27d8	conical straw hat
27d9	iberian hat
27da	balloon hat
27db	blue nightcap
27dc	straw boater
27dd	terry-cloth do-rag
27de	shower cap
27df	floppy hat
27e0	flashy hairpin
27e1	Festivale accessory
27e2	cloche hat
27e3	pilot's hat
27e4	school hat
27e5	bulb bopper
27e6	flower bopper
27e7	heart bopper
27e8	star bopper
27e9	mailman's hat
27ea	plain black cap
27eb	small silk hat
27ec	stripe knit cap
27ed	pilot's cap
27ee	fireman's hat
27ef	baby's hat
27f0	turban
27f1	warbonnet
27f2	kaffiyeh
27f3	cow bone
27f4	samurai wig
27f5	geisha wig
27f6	ninja hood
27f7	powdered wig
27f8	afro wig
27f9	regent wig
27fa	mohawk wig
27fb	pigtail
27fc	bun wig
27fd	tiara hair
27fe	bridal veil
27ff	headband
2800	bunny hood
2801	cat cap
2802	bear cap
2803	frog cap
2804	kappa cap
2805	samurai helmet
2806	hero's cap
2807	racing helmet
2808	motocross helmet
2809	football helmet
280a	knight's helmet
280b	Roman helmet
280c	diving mask
280d	space helmet
280e	ski mask
280f	wrestling mask
2810	retro helmet
2811	red-zap helmet
2812	blue-zap helmet
2813	green-zap helmet
2814	pink-zap helmet
2815	red ogre mask
2816	blue ogre mask
2817	Majora's Mask
2818	Samus mask
2819	Midna's Mask
281a	Toad hat
281b	pumpkin head
281c	King Tut mask
281d	ghost mask
281e	monster mask
281f	bug mask
2820	mummy mask
2821	red Pikmin
2822	blue Pikmin
2823	yellow Pikmin
2824	Girl's Day updo
2825	green headgear
2826	red headgear
2827	snowman head
2828	tsunokakushi
2829	Kintaro wig
282a	tam-o'-shanter
282b	red-horned hat
282c	red hood
282d	funky wig
282e	Makar's Mask
282f	fencing mask
2830	topknot wig
2831	DJ cap
2832	lion-dance mask
2833	hair-bow wig
2834	Tingle hood
2835	purple-imp hood
2836	stagehand hat
2837	matronly bun
2838	skeleton hood
2839	black veil
283a	afro cap
283b	werewolf hood
283c	ogre's wig
283d	diver's hood
283e	headkerchief
283f	Fi mask
2840	coin headpiece
2841	batter's helmet
2842	jockey's helmet
2843	catcher's mask
2844	blue headgear
2845	braided wig
2846	purple-pumpkin head
2847	yellow-pumpkin head
2848	green-pumpkin head
2849	red-pumpkin head
