Pants / Skirts
2679	jungle-camo shorts
267a	jungle-camo pants
267b	cargo pants
267c	dogtooth pants
267d	tan dogtooth pants
267e	patched pants
267f	Santa pants
2680	hero's pants
2681	leopard pants
2682	leopard skirt
2683	denim skirt
2684	lite polka skirt
2685	cow pants
2686	giraffe pants
2687	tiger pants
2688	zebra pants
2689	armor pants
268a	gold-armor pants
268b	iberian pants
268c	baseball pants
268d	bone pants
268e	arctic-camo pants
268f	desert-camo pants
2690	caveman shorts
2691	blue boxing shorts
2692	red boxing shorts
2693	pep-squad skirt
2694	new spring skirt
2695	hot spring skirt
2696	imperial pants
2697	bear-costume pants
2698	frog-costume pants
2699	kappa-costume pants
269a	gray sweatpants
269b	western pants
269c	funky-dot skirt
269d	flame pants
269e	green plaid shorts
269f	dragon leggings
26a0	explorer pants
26a1	firefighter pants
26a2	checkerboard skirt
26a3	picnic skirt
26a4	brown plaid shorts
26a5	rainbow plaid shorts
26a6	mint gingham skirt
26a7	blue polka shorts
26a8	corseted skirt
26a9	blue-grid skirt
26aa	patched-knee pants
26ab	red-grid skirt
26ac	blue gym shorts
26ad	green gym shorts
26ae	red gym shorts
26af	blue-zap pants
26b0	green-zap pants
26b1	red-zap pants
26b2	blue warm-up pants
26b3	green warm-up pants
26b4	red warm-up pants
26b5	jester pants
26b6	kung-fu pants
26b7	pleather pants
26b8	military pants
26b9	mummy pants
26ba	Varia Suit pants
26bb	ninja pants
26bc	genie pants
26bd	dark polka skirt
26be	racing pants
26bf	white-lace skirt
26c0	sailor skirt
26c1	samurai pants
26c2	jinbei shorts
26c3	space pants
26c4	cuffed pants
26c5	kilt
26c6	pink sweatpants
26c7	chino pants
26c8	gray tartan skirt
26c9	two-tone pants
26ca	natty skirt
26cb	dapper skirt
26cc	soccer shorts
26cd	orange pants
26ce	wrestler pants
26cf	black track pants
26d0	running pants
26d1	gray formal pants
26d2	navy formal pants
26d3	black formal pants
26d4	white formal pants
26d5	red-stripe pants
26d6	red plaid skirt
26d7	pastel-check skirt
26d8	grass skirt
26d9	red tartan pants
26da	red polka skirt
26db	dry-denim pants
26dc	black-denim skirt
26dd	acid-washed pants
26de	gray-stripe pants
26df	black-denim pants
26e0	worn-out jeans
26e1	emerald polka skirt
26e2	brown argyle skirt
26e3	pink argyle skirt
26e4	green tartan pants
26e5	dry-denim skirt
26e6	aloha shorts
26e7	blue-stripe pants
26e8	Festivale pants
26e9	pink pj bottoms
26ea	blue pj bottoms
26eb	basketball shorts
26ec	relay shorts
26ed	brown formal pants
26ee	royal shorts
26ef	scale-armor pants
26f0	black formal skirt
26f1	gray formal skirt
26f2	navy formal skirt
