Socks / Shoes

Socks
26f3	crocheted tights
26f4	brown-stripe socks
26f5	black stockings
26f6	heart-print tights
26f7	rainbow tights
26f8	black ankle socks
26f9	star tights
26fa	purple-stripe tights
26fb	dress socks
26fc	gray tights
26fd	navy socks
26fe	hiking gaiters
26ff	white-lace socks
2700	tube socks
2701	argyle socks
2702	bobby socks
2703	red tights
2704	purple star socks
2705	gray leggings
2706	white socks
2707	black tights
2708	beige tights
2709	colorful socks
270a	checkered socks
270b	brown socks
270c	argyle tights
270d	green-stripe socks
270e	leg warmers
270f	white ankle socks
2710	soccer socks
2711	black leggings
2712	polka-dot socks
2713	white stockings
2714	gray socks
2715	blue-stripe tights
2716	green tights

Shoes
2717	blue sneakers
2718	white patent shoes
2719	purple pumps
271a	shearling boots
271b	basketball shoes
271c	Santa boots
271d	hero's boots
271e	lace-up boots
271f	white leather shoes
2720	hiking boots
2721	kimono sandals
2722	snow boots
2723	flip-flops
2724	green polka pumps
2725	leopard pumps
2726	tropical sandals
2727	polka-dot rain boots
2728	yellow rain boots
2729	cleats
272a	wooden clogs
272b	brown loafers
272c	slippers
272d	monochrome shoes
272e	green sandals
272f	tasseled loafers
2730	purple high-tops
2731	flower loafers
2732	Patched Shoes
2733	clogs
2734	climbing shoes
2735	gladiator sandals
2736	ninja sandals
2737	steel-toed boots
2738	zap boots
2739	black rain boots
273a	stripe shoes
273b	ballet slippers
273c	cowboy boots
273d	jester's shoes
273e	school shoes
273f	armor shoes
2740	gold-armor shoes
2741	blue wrestling shoes
2742	red wrestling shoes
2743	Varia Suit shoes
2744	green buckled shoes
2745	black loafers
2746	pink slip-ons
2747	blue pumps
2748	colorful sneakers
2749	red boat shoes
274a	red shoes
274b	orange sandals
274c	brown slip-ons
274d	yellow buckled shoes
274e	purple dot shoes
274f	black pumps
2750	green-stripe shoes
2751	pink sneakers
2752	brown pumps
2753	yellow sneakers
2754	orange shoes
