Uncategorized

Environment Starters / Gifts
202A	Fossil
202b	fertilizer
202c	sapling
202d	cedar sapling
202e	holly start
202f	pink-azalea start
2030	white-azalea start
2031	blue-hydrangea start
2032	pink-hydrangea start
2033	red-hibiscus start
2034	y.-hibiscus start
2035	sweet-olive start
2036	present
2038	red-tulip bag
2039	white-tulip bag
203a	yellow-tulip bag
203b	pink-tulip bag
203c	purple-tulip bag
203d	black-tulip bag
203e	orange-tulip bag
203f	white-pansy bag
2040	yellow-pansy bag
2041	red-pansy bag
2042	purple-pansy bag
2043	orange-pansy bag
2044	blue-pansy bag
2045	white-cosmos bag
2046	red-cosmos bag
2047	sun-cosmos bag
2048	pink-cosmos bag
2049	orange-cosmos bag
204a	black-cosmos bag
204b	red-rose bag
204c	white-rose bag
204d	yellow-rose bag
204e	pink-rose bag
204f	orange-rose bag
2050	purple-rose bag
2051	black-rose bag
2052	blue-rose bag
2053	gold-rose bag
2054	red-carnation bag
2055	pink-carnation bag
2056	white-carnation bag
2057	white-lily bag
2058	yellow-lily bag
2059	red-lily bag
205a	orange-lily bag
205b	pink-lily bag
205c	black-lily bag
205d	purple-violet bag
205e	blue-violet bag
205f	white-violet bag
2060	yellow-violet bag
2084	wrapping paper
2085	medicine
2086	chocolate heart

Shells / Candy
2087	pearl-oyster shell
2088	conch shell
2089	giant-clam shell
208a	coral
208b	venus-comb shell
208c	scallop shell
208d	sea-snail shell
208e	cowrie shell
208f	sand dollar
2090	oyster shell
2091	candy
2092	lollipop

Mushrooms / Traps
2093	elegant mushroom
2094	round mushroom
2095	skinny mushroom
2096	flat mushroom
2097	rare mushroom
2098	famous mushroom
2099	beehive
209a	pitfall seed
209b	tricky pitfall seed

Ores
209c	gold nugget
209d	silver nugget
209e	ruby
209f	sapphire
20a0	emerald
20a1	amethyst

Ingredients
20a2	butter
20a3	milk
20a4	vinegar
20a5	flour
20a6	sugar

Prizes
2113	earth egg
2114	tree egg
2115	stone egg
2116	sky egg
2117	winning ticket
2118	grand-prize ticket

Mannequins
2e2c	mannequin 1
2e2d	mannequin 2
2e2e	mannequin 3
2e2f	mannequin 4

Drinks
307b	coffee
307c	sparkling cider
307d	beans
307e	good-luck roll
307f	vanilla soft-serve
3080	choco soft-serve
3081	matcha soft-serve
3082	swirl soft-serve
3083	vanilla ice cream
3084	strawberry ice cream
3085	lemon double scoop
3086	mint double scoop

Wands / Fireworks / Celebration
3087	blue glow wand
3088	green glow wand
3089	pink glow wand
308a	yellow glow wand
308b	tweeter
308c	fountain firework
308d	used firework
308e	Santa bag
308f	mystery bag

Coffee Beans
3090	normal coffee beans
3091	good coffee beans
3092	superb coffee beans
3093	chocolate coin

Villager Items
30a2	signature sheet
30a3	petition form
30a4	paper scrap
30a5	lost item (1)
30a6	lost item (2)
30a7	lost item (3)
30a8	lost item (4)
30a9	book
30aa	pouch
30ab	mitten
30ac	paper bag
30ad	towel

Festival Prizes
30e1	Redd's cookie
30e2	dud ticket
30e3	flash ticket
30e4	bang ticket
30e5	sparkle ticket
30e6	whiz ticket
30e7	pow ticket
30e8	crackle ticket
30e9	kaboom ticket
30ea	pop ticket

Villager Items
30f9	bingo card
30fa	expired bingo card
30fb	time capsule
30fc	scavenger-hunt list
